,ID,Channel,Title,Duration,Release Date,Views,Likes,Comments
109,zTRlDqNeDCM,NCT 127,[N’-9] MARK AND HIS BROTHERS,00:01:52,2017-09-29 10:00:03,89106,9556,175
110,3dGxERRPjoU,NCT DREAM,NCT DREAM BOY VIDEO EP.10,00:03:18,2017-10-11 09:00:01,59399,5999,113
111,lpv-mkmddms,SMTOWN,[STATION] 도영 X 세정 '별빛이 피면 (Star Blossom)' MV,00:03:33,2017-10-13 09:00:04,12365529,554265,18150
112,n5hGZYlbwUg,NCT DREAM,NCT DREAM BOY VIDEO EP.11,00:03:16,2017-10-13 09:00:05,56702,5962,109
113,DOqPysH8Rk4,NCT DREAM,NCT DREAM BOY VIDEO EP.12,00:06:14,2017-10-16 08:00:01,63823,6634,163
114,6kXhADu683E,NCT,[N'-10] STAR BLOSSOM AND DOYOUNG 도영이와 별빛이 피면,00:01:23,2017-10-17 09:00:00,61274,8039,142
115,pmy3umKVl4I,NCT DREAM,NCT DREAM BOY VIDEO B-CUT Teaser,00:00:44,2017-10-18 09:00:04,32980,4136,65
116,ApYrBGAvkVQ,NCT 127,[N'-11] NCT THE REVIEWERS,00:02:13,2017-10-19 10:00:00,85785,8066,135
117,DJXnglc5F-I,NCT DREAM,NCT DREAM BOY VIDEO B-CUT #1,00:01:06,2017-10-20 09:00:01,46927,4598,44
118,NZrh0TgDQNc,NCT DREAM,NCT DREAM BOY VIDEO B-CUT #2,00:01:56,2017-10-23 09:00:01,46727,4776,84
119,do3DsEInz0Y,NCT DREAM,NCT DREAM BOY VIDEO B-CUT #3,00:00:53,2017-10-25 09:00:05,43007,4665,68
120,0UEX4ND8tF0,NCT 127,[N'-12] NCT @SEOUL FASHION WEEK,00:02:20,2017-10-26 07:00:00,79506,8113,152
121,pegpRTbuwdo,NCT DREAM,NCT DREAM BOY VIDEO B-CUT #4,00:01:19,2017-10-27 09:00:03,42939,4759,59
122,3YxijZP961U,NCT DREAM,NCT DREAM BOY VIDEO B-CUT #5,00:01:20,2017-10-30 09:00:00,44153,4470,67
123,c619qWBZr7g,NCT 127,[N'-13] JOHNNY’S FASHION EVALUATION,00:02:46,2017-10-30 10:00:02,54578,5877,112
124,N1UZL1h-JXw,NCT DREAM,NCT DREAM BOY VIDEO B-CUT #6,00:00:51,2017-11-01 09:00:03,62490,7945,163
125,1WXCf_-Gkug,NCT DREAM,NCT DREAM BOY VIDEO B-CUT #7,00:01:47,2017-11-03 09:00:00,65422,5881,81
126,9cxuq2sH06Y,NCT 127,[N'-14] NCT IN BUSAN,00:02:09,2017-11-03 10:00:00,56506,5615,91
127,mbsrf4OICR4,SMTOWN,【NCT 127】 「Limitless」,00:04:11,2017-11-04 12:00:02,13395299,567432,20372
128,gj0qsM904VQ,NCT,[N'-15] NCT HALLOWEEN COSTUME,00:02:04,2017-11-10 10:00:02,145737,13645,199
129,xAFXqsAoKG0,NCT DREAM,NCT DREAM_ SUPER JUNIOR 'Black Suit' DANCE COVER,00:01:22,2017-11-14 08:00:04,1259982,102486,1244
130,fFwF1TOFDBs,NCT DREAM,[N'-16] 네 맘을 훔칠 Black Suit!,00:02:51,2017-11-14 10:00:05,346720,30119,341
131,VB6j33QjazA,SMTOWN,Poetic Beauty: JAEHYUN 재현,00:02:26,2017-11-22 10:00:02,2006807,278927,6339
132,4LPmBiFkoBk,SMTOWN,[STATION] 디어 (d.ear) X 재현 'Try Again' MV,00:02:59,2017-11-24 09:00:00,21521767,867317,17759
133,5TiRiAC4jHU,NCT,[N'-17] BEHIND THE POETIC JAEHYUN,00:03:29,2017-11-25 03:00:00,78668,12111,236
134,g2m5-1XRcaI,NCT,2018 SM ARTIST SEASON’S GREETINGS Teaser(NCT),00:00:23,2017-11-27 04:00:01,37274,5132,158
135,zINSO5wyzj8,NCT,[N'-18] MANGO TAEYONG MELON TEN,00:01:26,2017-11-30 10:00:07,52041,6352,120
136,Dhyy2grZ8oE,NCT 127,NCT 127_ 2017 MAMA INTRO PERFORMANCE,00:01:07,2017-12-01 15:00:01,78237,7376,120
137,Yxb0Bfb5NKc,NCT 127,NCT 127_ 2017 MAMA OUTRO PERFORMANCE_ Bonus Ver.,00:01:12,2017-12-01 15:00:02,115196,11871,173
138,fkXm7B_76KA,NCT 127,[N'-19] OKAY! WE ARE PRACTICING,00:01:24,2017-12-02 03:00:03,255810,25258,301
139,j24N_Oe2moU,NCT,NCT_JISUNG #LEMONDANCECHALLENGE,00:01:37,2017-12-06 10:00:02,1554532,150532,2210
140,NnX4woRI6Zg,NCT,[N'-20] NCT FANBOYS_ 지성이의 행복버튼,00:01:41,2017-12-09 03:00:00,81014,8620,143
141,VMMl0DopcdM,SMTOWN,[STATION] NCT DREAM 엔시티 드림 'JOY' MV,00:03:00,2017-12-16 01:00:01,4863834,318640,9543
142,ebCbDf-uvxw,NCT DREAM,[N'-21] JOY! JOY TO THE WORLD,00:03:03,2017-12-18 09:00:02,104508,11041,192
143,uPFwkzh3Kxw,NCT 127,[N'-22] BEGINNING OF THE CAMERA WAR,00:02:39,2017-12-31 04:00:01,78031,7730,157
144,qtfA_1ZGDOc,NCT 127,[N'-23] 마크야 스무살 된 것 축하해 ♥,00:04:53,2018-01-09 10:00:07,87526,8742,195
145,PmH948yZwhE,SMTOWN,[STATION] NCT U '텐데... (Timeless)' Live Video,00:04:18,2018-01-12 11:00:01,9454625,355582,11559
146,Rld2L9IqlCI,NCT,NCT 2018_ARCHIVE : #0001,00:01:09,2018-01-24 10:00:01,94548,10001,186
147,TuSh3zBTYto,NCT 127,NCT 127 _ 27th SEOUL MUSIC AWARDS INTRO PERFORMANCE,00:01:24,2018-01-25 14:00:02,62840,7000,130
148,SxmAPndCl5k,NCT,NCT 2018_ARCHIVE : #0002,00:00:44,2018-01-27 04:00:01,39310,5319,153
149,Z7Ta6W6iqK8,SMTOWN,NCT 2018 Yearbook #1,00:02:05,2018-01-30 15:00:02,4761412,378145,18608
150,8b2EP0NZtrU,SMTOWN,NCT 2018 Yearbook #2,00:01:56,2018-02-01 15:00:02,9384610,491720,21730
151,1Mp-MSUBYl0,NCT,[N'-24] NCT 2018 Yearbook behind the scenes,00:05:00,2018-02-03 13:00:00,94871,10372,268
152,n9sTURayTcE,NCT,[N'-25] NCT 2018 Yearbook behind the scenes : Selfcam ver. 1,00:03:49,2018-02-05 09:00:06,67625,6602,132
153,rgfr2BYScjE,NCT,[N'-26] NCT 2018 Yearbook behind the scenes : Selfcam ver. 2,00:03:52,2018-02-06 09:00:07,69135,6380,105
154,TrTdkaklKqg,SMTOWN,NCTmentary EP1. Dream Lab,00:02:44,2018-02-08 15:00:03,1402763,145797,5595
155,iKFIMhjP0iw,SMTOWN,NCTmentary EP2. Switch,00:03:59,2018-02-12 15:00:04,880924,97308,3452
156,0AUFyFEt35g,SMTOWN,NCT U 엔시티 유 'BOSS' MV,00:03:35,2018-02-18 15:00:00,191272022,3056950,170626
157,OFTKi7SAwLE,NCT,[N'-27] WHEN JUNGWOO CRIED,00:01:48,2018-02-22 12:00:02,120717,14413,351
158,5dBfPVuUVkA,NCT,[N'-28] POWER+FEELING=LUCAS,00:01:41,2018-02-23 12:00:01,72281,7905,176
159,pfWIvpBGPRg,NCT,[N'-29] In Ukraine! 〈1〉,00:03:53,2018-02-24 13:30:01,195959,15511,280
160,jRj0sUtIFNU,NCT,[N'-30] In Ukraine! 〈2〉,00:04:19,2018-02-26 09:00:02,188714,15072,289
161,k0DqRstCgj4,SMTOWN,NCT U 엔시티 유 'Baby Don't Stop' MV,00:03:09,2018-02-26 15:00:05,104005189,2142867,90639
162,7mOjD2I_qMw,SMTOWN,NCTmentary EP3. Empathy,00:04:02,2018-02-28 15:00:01,848649,93414,3553
163,G72xhw4mqKw,SMTOWN,NCT U: The Story of 'Baby Don't Stop',00:03:38,2018-03-03 12:00:01,1053136,96222,2396
164,cD8SYW8rjaQ,SMTOWN,NCT DREAM 엔시티 드림 'GO' MV,00:03:37,2018-03-04 15:00:05,49732787,1408412,72585
165,gveeLPUwrSM,NCT,[N'-31] In Ukraine! 〈3〉,00:04:24,2018-03-05 12:00:07,235995,17293,218
166,MjkEa3sOpY4,NCT,[N'-32] TAEYONG TEN in Ukraine,00:04:41,2018-03-09 03:00:00,84049,8354,199
167,6sHIq41sI-w,SMTOWN,NCT 127 엔시티 127 'TOUCH' MV,00:03:14,2018-03-13 15:01:07,59537993,1309225,66297
168,TWla8bwfcMc,SMTOWN,NCT 127 엔시티 127 'TOUCH' Special Choreography Video,00:02:59,2018-03-29 03:00:02,4501379,230029,5206
169,gUWDiXBNohY,SMTOWN,NCT U 엔시티 유 'YESTODAY' MV,00:03:49,2018-04-01 15:00:06,16647538,773094,37684
170,uA7D_RK4j9M,SMTOWN,NCT U: The Story of 'YESTODAY',00:03:56,2018-04-05 09:00:03,389773,40492,1597
171,VM-g_bkFdzo,SMTOWN,[STATION] TEN 텐 'New Heroes' MV,00:03:08,2018-04-06 09:00:05,11968140,620947,35852
172,1CYH4F1KCw8,SMTOWN,NCT 2018 엔시티 2018 'Black on Black' MV (Performance Ver.),00:03:26,2018-04-18 15:00:01,59792724,1642944,68419
173,l-UKY8Pv7Jk,NCT,[N'-33] BEHIND THE BLACK ON BLACK 〈1〉,00:05:17,2018-04-23 12:00:05,142764,12895,308
174,BtYilnsQygc,NCT,[N'-34] BEHIND THE BLACK ON BLACK 〈2〉,00:04:33,2018-04-25 12:00:01,106185,9556,227
175,W8w0E1HGSlg,NCT,[N'-35] BEHIND THE BLACK ON BLACK 〈3〉,00:04:44,2018-04-27 12:00:02,296618,28306,401
176,kIJb4Zkviks,NCT,[N'-36] TEN in LA,00:04:29,2018-04-28 12:00:09,102813,10377,235
177,28XC2KRE-DE,SMTOWN,NCT 127 'Chain' MV,00:03:46,2018-05-08 11:00:01,46698301,1255194,72625
178,xFnm1t4vZxQ,NCT,NCT RECORDING DIARY #1,00:06:44,2018-05-31 10:00:15,296200,27495,531
179,bmuF1ej2f0A,NCT,NCT RECORDING DIARY #2,00:08:27,2018-06-03 10:28:06,257735,22313,446
180,Uc3qQdRoUtc,NCT 127,[N'-37] NCT VLOG #1 Eat and Shop in LA!,00:06:37,2018-06-06 10:00:05,188689,16891,312
181,zHoVL3umpEc,NCT,NCT 미니게임천국 #1: 음악감별사 최강자전! (Guess the Song),00:08:38,2018-06-07 10:00:33,108099,11136,308
182,lirzcFF9mWk,NCT 127,[N'-38] NCT VLOG #2 Ice Cream Cone!,00:07:15,2018-06-09 10:00:04,284628,23562,430
183,mHV1BuWSxNA,NCT,"NCT 미니게임천국 #2: 사랑해 게임 (""I LOVE YOU"" Challenge)",00:07:41,2018-06-10 09:50:19,343446,28193,837
184,wKD7MZsXYSA,NCT 127,[N'-39] NCT VLOG #3 HAPPY HAPPY,00:05:48,2018-06-12 10:00:07,133258,10832,203
185,sscwCnqN_FM,NCT,NCT 미니게임천국 #3: 최강 손가락 컨트롤러 (Professional Fingertips),00:12:22,2018-06-13 10:00:02,130499,11464,300
